Row IDOrder IDOrder DateShip DateShip ModeCustomer IDCustomer NameSegmentCountryCityStatePostal CodeRegionProduct IDCategorySub-CategoryProduct Name Sales QuantityDiscount Profit 
1CA-2016-15215611/8/201611/11/2016Second ClassCG-12520Claire GuteConsumerUnited StatesHendersonKentucky42420SouthFUR-BO-10001798FurnitureBookcasesBush Somerset Collection Bookcase   261.96 20   41.91 
2CA-2016-15215611/8/201611/11/2016Second ClassCG-12520Claire GuteConsumerUnited StatesHendersonKentucky42420SouthFUR-CH-10000454FurnitureChairs"Hon Deluxe Fabric Upholstered Stacking Chairs Rounded Back"   731.94 30   219.58 
3CA-2016-1386886/12/20166/16/2016Second ClassDV-13045Darrin Van HuffCorporateUnited StatesLos AngelesCalifornia90036WestOFF-LA-10000240Office SuppliesLabelsSelf-Adhesive Address Labels for Typewriters by Universal   14.62 20   6.87 
4US-2015-10896610/11/201510/18/2015Standard ClassSO-20335Sean O'DonnellConsumerUnited StatesFort LauderdaleFlorida33311SouthFUR-TA-10000577FurnitureTablesBretford CR4500 Series Slim Rectangular Table   957.58 50.45   -383.03 
5US-2015-10896610/11/201510/18/2015Standard ClassSO-20335Sean O'DonnellConsumerUnited StatesFort LauderdaleFlorida33311SouthOFF-ST-10000760Office SuppliesStorageEldon Fold 'N Roll Cart System   22.37 20.2   2.52 
6CA-2014-1158126/9/20146/14/2014Standard ClassBH-11710Brosina HoffmanConsumerUnited StatesLos AngelesCalifornia90032WestFUR-FU-10001487FurnitureFurnishings"Eldon Expressions Wood and Plastic Desk Accessories Cherry Wood"   48.86 70   14.17 
7CA-2014-1158126/9/20146/14/2014Standard ClassBH-11710Brosina HoffmanConsumerUnited StatesLos AngelesCalifornia90032WestOFF-AR-10002833Office SuppliesArtNewell 322   7.28 40   1.97 
8CA-2014-1158126/9/20146/14/2014Standard ClassBH-11710Brosina HoffmanConsumerUnited StatesLos AngelesCalifornia90032WestTEC-PH-10002275TechnologyPhonesMitel 5320 IP Phone VoIP phone   907.15 60.2   90.72 
9CA-2014-1158126/9/20146/14/2014Standard ClassBH-11710Brosina HoffmanConsumerUnited StatesLos AngelesCalifornia90032WestOFF-BI-10003910Office SuppliesBindersDXL Angle-View Binders with Locking Rings by Samsill   18.50 30.2   5.78 
10CA-2014-1158126/9/20146/14/2014Standard ClassBH-11710Brosina HoffmanConsumerUnited StatesLos AngelesCalifornia90032WestOFF-AP-10002892Office SuppliesAppliancesBelkin F5C206VTEL 6 Outlet Surge   114.90 50   34.47 
